Name; Probe ID,Description (GNF1M; Sanger),Phylogenetic Age,process_5,function_5,component_10,Probe ID,olfactory bulb,frontal cortex,cerebral cortex,hippocampus,dorsal striatum,preoptic,hypothalamus,amygdala,cerebellum,pituitary
Pwp2h; gnf1m00015_a_at,"PWP2 (periodic tryptophan protein) homolog, yeast",U,,,,gnf1m00015_a_at,53.8,30.1,36,31.9,13.5,131.2,30.4,44.4,34.9,15.7
Tollip; gnf1m00016_a_at,toll interacting protein,E,intracellular signaling cascade:GO:0007242,protein binding:GO:0005515,interleukin-1 receptor complex:GO:0045323,gnf1m00016_a_at,911,787.5,975.7,1047.5,964.2,811.2,987.4,950.7,808.6,417.4
Tlx1; gnf1m00017_at,"T-cell leukemia, homeobox 1",Z,spleen development:GO:0048536,protein heterodimerization activity:GO:0046982,nucleus:GO:0005634,gnf1m00017_at,164.2,193.5,167,163.7,175.9,92.2,239.6,189,157.9,203.7
Mixl1; gnf1m00018_at,Mix1 homeobox-like 1 (Xenopus laevis),Z,gut development:GO:0048565,transcription factor activity:GO:0003700,nucleus:GO:0005634,gnf1m00018_at,21.5,15.2,10.9,18.7,12.9,19.1,9,7.7,10.9,24.4
Gpr73; gnf1m00019_at,G protein-coupled receptor 73,Z,circadian rhythm:GO:0007623,rhodopsin-like receptor activity:GO:0001584,integral to membrane:GO:0016021,gnf1m00019_at,135.6,226.2,195.8,158.3,204.8,162.1,172.2,254.2,219.8,210.5
Rqcd1; gnf1m00020_a_at,rcd1 (required for cell differentiation) homolog 1 (S. pombe),E,cytokine and chemokine mediated signaling pathway:GO:0019221,binding:GO:0005488,,gnf1m00020_a_at,581.8,605,612.1,637.1,666.1,511.8,548.5,629.6,591.8,567.4
Sdhd; gnf1m00021_a_at,"succinate dehydrogenase complex, subunit D, integral membrane protein",Z,electron transport:GO:0006118,heme binding:GO:0020037,integral to membrane:GO:0016021,gnf1m00021_a_at,686.7,735.7,624.1,659.6,640.5,1223.6,598.5,733.1,938,1059.5
Kynu; gnf1m00022_a_at,kynureninase (L-kynurenine hydrolase),U,coenzyme metabolism:GO:0006732,kynureninase activity:GO:0030429,cytoplasm:GO:0005737,gnf1m00022_a_at,17.8,14.1,19.7,15.3,20.9,12.1,26.1,18.7,17.7,15.9
Hmgcs2; gnf1m00023_a_at,3-hydroxy-3-methylglutaryl-Coenzyme A synthase 2,,sterol metabolism:GO:0016125,transferase activity:GO:0016740,mitochondrion:GO:0005739,gnf1m00023_a_at,146.9,143,58.6,161.9,174.3,91.2,93.5,108.5,153.9,117.6
Camta2; gnf1m00024_a_at,calmodulin binding transcription activator 2,Z,Wnt receptor signaling pathway:GO:0016055,calmodulin binding:GO:0005516,cytoskeleton:GO:0005856,gnf1m00024_a_at,588.3,1082.1,1484.2,1205.6,934.3,943.8,543.7,886.2,1061.9,406.2
Gch1; gnf1m00025_a_at,GTP cyclohydrolase 1,,aromatic compound biosynthesis:GO:0019438,cyclohydrolase activity:GO:0019238,,gnf1m00025_a_at,133,154.3,96.5,159.3,103.7,132.4,230.2,148.1,188.8,116.9
Gpd1; gnf1m00026_a_at,glycerol-3-phosphate dehydrogenase 1 (soluble),U,polyol metabolism:GO:0019751,NAD binding:GO:0051287,glycerol-3-phosphate dehydrogenase complex:GO:0009331,gnf1m00026_a_at,476.8,848.6,697.3,659.4,703.9,313.6,382.6,501.3,870,381.2
Rpl4; gnf1m00027_at,ribosomal protein L4,U,protein biosynthesis:GO:0006412,protein binding:GO:0005515,ribosome:GO:0005840,gnf1m00027_at,203.6,267.6,243,156.6,223.4,205.6,321,253.3,183.4,508.7
Trim42; gnf1m00028_a_at,tripartite motif-containing 42,Z,biopolymer modification:GO:0043412,metal ion binding:GO:0046872,ubiquitin ligase complex:GO:0000151,gnf1m00028_a_at,31.8,109.2,160.2,77.6,66.3,49.3,62.5,51.4,39.7,33.3
Prkcn; gnf1m00029_s_at,"protein kinase C, nu",E,intracellular signaling cascade:GO:0007242,ATP binding:GO:0005524,,gnf1m00029_s_at,297,321.3,340.5,303.3,316.4,349.3,313,287.7,251.6,76.5
Fmo2; gnf1m00030_a_at,flavin containing monooxygenase 2,U,oxygen and reactive oxygen species metabolism:GO:0006800,dimethylaniline monooxygenase (N-oxide-forming) activity:GO:0004499,integral to membrane:GO:0016021,gnf1m00030_a_at,115.3,89,84.6,79.4,101.3,84.8,99.6,102.9,53.4,85.3
A430106J12Rik; gnf1m00031_s_at,RIKEN cDNA A430106J12 gene; Hook-related protein 1,U,,,membrane:GO:0016020,gnf1m00031_s_at,617.2,526.6,401,412.2,455.6,532.5,502.1,632,402.9,265.6
Tcea3; gnf1m00032_a_at,"transcription elongation factor A (SII), 3",E,"regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabol:GO:0019219",metal ion binding:GO:0046872,nucleus:GO:0005634,gnf1m00032_a_at,64.6,149,172.6,140.3,122.2,87.7,177.9,160.3,140.2,195
BC010250; gnf1m00033_s_at,cDNA sequence BC010250,U,,,,gnf1m00033_s_at,431.1,604.6,349.3,511.6,503.3,899.3,466.3,535.5,618.1,284.1
Camk2g; gnf1m00034_a_at,calcium/calmodulin -dependent protein kinase II gamma; calcium/calmodulin-dependent protein kinase II gamma,E,biopolymer modification:GO:0043412,transferase activity:GO:0016740,,gnf1m00034_a_at,1787,2033.2,1928.3,1948.1,1457.6,2514.2,1926.6,1306.6,1348.2,1276.7
gnf1m00035_a_at;,,,,,,gnf1m00035_a_at,18.5,41.5,52,64.6,68.4,31.7,32,52.8,75.5,105.5
4632404H12Rik; gnf1m00036_a_at,"RIKEN cDNA 4632404H12 gene; RIKEN cDNA 4632404H12 gene (4632404H12Rik), mRNA",M,,,,gnf1m00036_a_at,27,36.4,83.5,24.4,26.1,96,28.2,28.2,17.5,48.8
Rhbdf1; gnf1m00037_a_at,rhomboid family 1 (Drosophila),U,,copper ion binding:GO:0005507,,gnf1m00037_a_at,420.6,309.7,356.2,361.8,353.9,306,365.9,299.7,394.5,364.6
4933405I11Rik; gnf1m00038_a_at,mucin 4,,,,,gnf1m00038_a_at,9.2,7,9.5,8.1,10.4,4.4,5.5,8.3,4.5,6.1
4933405I11Rik; gnf1m00039_s_at,mucin 4,,cell-matrix adhesion:GO:0007160,molecular function unknown:GO:0005554,,gnf1m00039_s_at,20,12,52.6,18.6,29.3,60,45.6,21.8,38.3,12.1
Atp6v1g2; gnf1m00040_a_at,"ATPase, H+ transporting, V1 subunit G isoform 2",Z,proton transport:GO:0015992,metal ion binding:GO:0046872,integral to synaptic vesicle membrane:GO:0030285,gnf1m00040_a_at,2513.6,2983,3930.4,3559.9,3220.6,3055.7,2256.1,3748.3,2207.8,365.2
Lrrc29; gnf1m00041_at,leucine rich repeat containing 29,,,,,gnf1m00041_at,43.7,61.5,9.7,51.5,10.8,51.2,42.7,14,103.3,56.9
Optn; gnf1m00042_a_at,optineurin,U,,,Golgi stack:GO:0005795,gnf1m00042_a_at,31.6,36,32.2,33.8,35.9,34.4,35.3,33.6,33.9,164.6
Cldn2; gnf1m00043_a_at,claudin 2,M,calcium-independent cell-cell adhesion:GO:0016338,protein self binding:GO:0042802,integral to membrane:GO:0016021,gnf1m00043_a_at,75.1,112,28.6,86,46,20.8,98.4,82.5,130.3,59.5
Ankrd5; gnf1m00044_a_at,ankyrin repeat domain 5,U,,calcium ion binding:GO:0005509,,gnf1m00044_a_at,43.2,30.8,89.6,78.3,27.6,8,71.9,26.1,17.8,50.5
BC032265; gnf1m00045_a_at,cDNA sequence BC032265,U,,transferase activity:GO:0016740,,gnf1m00045_a_at,177.3,178.2,180.3,198.5,183.4,152.6,220.4,208.6,220.3,366.8
4930506D23Rik; gnf1m00046_a_at,"RIKEN cDNA 4930506D23 gene; RIKEN cDNA 4930506D23 gene (4930506D23Rik), mRNA",Z,cell wall catabolism:GO:0016998,,,gnf1m00046_a_at,152.3,266.8,156.8,169.8,215.4,323.8,233.7,232,236.4,290.4
BC034902; gnf1m00047_a_at,cDNA sequence BC034902,M,,,,gnf1m00047_a_at,23.6,36.7,40.7,27,30.1,38.7,35.7,52.9,23.8,28.8
A530064D06Rik; gnf1m00048_s_at,"RIKEN cDNA A530064D06 gene; RIKEN cDNA A530064D06 gene (A530064D06Rik), mRNA",M,,,integral to membrane:GO:0016021,gnf1m00048_s_at,17.7,14.8,1.5,2.3,2.5,1,1.7,1.4,3.2,2.7
Lamc1; gnf1m00049_a_at,"laminin, gamma 1",U,cell adhesion:GO:0007155,protein binding:GO:0005515,extracellular space:GO:0005615,gnf1m00049_a_at,739.4,513.8,475.3,456.9,501.2,500.6,482.5,587,468.3,573.6
Dnajc3; gnf1m00050_at,"DnaJ (Hsp40) homolog, subfamily C, member 3",,response to unfolded protein:GO:0006986,heat shock protein binding:GO:0031072,cytoplasm:GO:0005737,gnf1m00050_at,68.5,73.3,51.9,23.7,84.3,84.3,160.7,72,88.1,309.6
Arl4; gnf1m00051_a_at,ADP-ribosylation factor-like 4,E,small GTPase mediated signal transduction:GO:0007264,GTP binding:GO:0005525,nucleus:GO:0005634,gnf1m00051_a_at,84.1,107.7,83.4,44.5,72.9,59.8,92.7,139.8,87.5,92.2
Pdrg1; gnf1m00052_a_at,p53 and DNA damage regulated 1,Z,,,,gnf1m00052_a_at,219,299.7,246.3,219.3,316.4,346.7,337.2,265,406.2,520.5
Gemin4; gnf1m00053_a_at,gem (nuclear organelle) associated protein 4,M,,,,gnf1m00053_a_at,16.9,15.1,16.1,14.2,11.4,17.4,9.6,10.2,25.4,33.7
Uxs1; gnf1m00054_a_at,UDP-glucuronate decarboxylase 1,U,nucleotide-sugar metabolism:GO:0009225,NAD binding:GO:0051287,integral to membrane:GO:0016021,gnf1m00054_a_at,112.6,212,225.3,262.8,282,94.6,160.9,255.9,141.9,87.4
Stk31; gnf1m00055_a_at,serine threonine kinase 31,U,biopolymer modification:GO:0043412,transferase activity:GO:0016740,extracellular space:GO:0005615,gnf1m00055_a_at,87,80.9,114.1,89.4,65,50.8,33.7,77.8,91.5,72.4
Fuk; gnf1m00056_a_at,fucokinase,E,phosphate metabolism:GO:0006796,fucokinase activity:GO:0050201,cytoplasm:GO:0005737,gnf1m00056_a_at,320.7,323.3,317.4,322.8,314,270.3,240.5,324.9,351.1,280.5
Ahctf1; gnf1m00057_a_at,embryonic large molecule derived from yolk sac; AT hook containing transciption factor 1,E,,,,gnf1m00057_a_at,117.3,126.6,91.1,111.5,45.9,103,140,132.7,81.4,87.7
Vcl; gnf1m00058_a_at,vinculin,Z,regulation of cell migration:GO:0030334,protein binding:GO:0005515,costamere:GO:0043034,gnf1m00058_a_at,372.3,456.7,444.3,516.6,375.4,347.4,431.5,421.7,425,505.9
Gpr37l1; gnf1m00059_a_at,G protein-coupled receptor 37-like 1,Z,G-protein coupled receptor protein signaling pathway:GO:0007186,"G-protein coupled receptor activity, unknown ligand:GO:0016526",integral to membrane:GO:0016021,gnf1m00059_a_at,2472,2129.3,2376.5,1846.5,1977.3,3250,2373.9,1627.9,4846.7,1140.7
Hs2st1; gnf1m00060_at,heparan sulfate 2-O-sulfotransferase 1,,aminoglycan metabolism:GO:0006022,transferase activity:GO:0016740,integral to membrane:GO:0016021,gnf1m00060_at,268.7,265.1,259.8,253.5,281,455,325.2,310.1,378.7,304.5
Hsd17b7; gnf1m00061_a_at,hydroxysteroid (17-beta) dehydrogenase 7,U,metabolism:GO:0008152,3-keto-steroid reductase activity:GO:0050576,integral to membrane:GO:0016021,gnf1m00061_a_at,88.4,256.8,138.3,130,229.9,131.2,109.5,211.8,166.4,99.4
Usp2; gnf1m00062_a_at,ubiquitin specific protease 2; ubiquitin specific peptidase 2,E,cellular protein metabolism:GO:0044267,ubiquitin-specific protease activity:GO:0004843,,gnf1m00062_a_at,351.7,357.4,441.2,434.7,328.3,198,274.4,396.8,478.6,243.2
Adnp; gnf1m00063_a_at,dolichol-phosphate (beta-D) mannosyltransferase 1,U,,"transferase activity, transferring glycosyl groups:GO:0016757",endoplasmic reticulum:GO:0005783,gnf1m00063_a_at,203.8,272,192.8,227.7,169,203,234.5,216.7,182.6,119.5
